基础型号,具体型号,在保量
CYR400P,CYR400P,3317.0
HD350-AP-161,HD350-AP-161,1515.0
MBB90G,MBB90GGR,1614.0
MBF8001,MBF8001GR,5936.0
MBF8002,MBF8002GR,6217.0
MBF8004,MBF8004GR,5169.0
MBF8005,MBF8005GR,9476.0
MBF8501,MBF8501GR,4876.0
MBF8503,MBF8503GR,8759.0
MBF8505,MBF8505GR,5579.0
MBF8507,MBF8507GR,11224.0
MCF8707,MCF8707GR,2836.0
MCF8721ES,MCF8721ES,4182.0
MCF8722,MCF8722GR,4834.0
MCF8723,MCF8723GR,5878.0
MCF8724,MCF8724GR,2083.0
MCF8725,MCF8725GR,1937.0
MCF8727,MCF8727GR,3534.0
MGF36R,MGF36RGR,1866.0
MGF8401,MGF8401GR,3360.0
MGF8402,MGF8402GR,6462.0
MGF8403,MGF8403GR,2497.0
MGF8404,MGF8404GR,2222.0
MGF8405,MGF8405GR,2838.0
MGF8406,MGF8406GR,2624.0
MGF8448,MGF8448GR,2659.0
MGF8450,MGF8450GR,3928.0
MGF8452,MGF8452GR,2332.0
MGF8453,MGF8453GR,2418.0
MPF8202,MPF8202GR,2918.0
MSF3610,MSF3610GR,2083.0
MSF8301,MSF8301GR,6131.0
MSF8302,MSF8302GR,9716.0
MGF8409,MGF8409GR,1879.0
MSF8303,MSF8303GR,4048.0
MSF8304,MSF8304GR,2498.0
MSF8305,MSF8305GR,3166.0
MSF8306,MSF8306GR,6026.0
MGF8401L,MGF8401GRL,1805.0
MSF8307,MSF8307GR,5063.0
MSF8308,MSF8308GR,5117.0
YR140-AP-161,YR140-AP-161,3852.0
YR280-AP-161,YR280-AP-161,3524.0
MBC50,MBC50GR,1779.0
YR450-AP-161,YR450-AP-161,4001.0
MCF8720,MCF8720GR,1704.0
MPF8203,MPF8203GR,1517.0
MCF8703ES,MCF8703ES,1531.0
MSF3615,MSF3615GR,1427.0
MBF8505L,MBF8505GRL,1443.0
MBF8504,MBF8504GR,1395.0
MBC65,MBC65GR,1555.0
MCF8705,MCF8705GR,1671.0
MBF8508,MBF8508GR,1269.0
MBF8501L,MBF8501GRL,1252.0
MCF8728,MCF8728GR,1410.0
MPF8201,MPF8201GR,1169.0
MBF8519,MBF8519GR,1232.0
MBF8006,MBF8006GR,1188.0
MGF8410,MGF8410GR,1070.0
MCF8726,MCF8726GR,1107.0
MBF8003,MBF8003GR,1080.0
MGF8407,MGF8407GR,1031.0
MGF8413,MGF8413GR,822.0
MBB48G,MBB48GGR,1048.0
MGF8405L,MGF8405GRL,985.0
MKC58,MKC58GR,975.0
YR800-AP-261,YR800-AP-261,1008.0
MGF36F,MGF36FGR,850.0
MGF8451,MGF8451GR,929.0
MBB59G,MBB59GGR,915.0
MBF8506,MBF8506GR,754.0
MKC90,MKC90GR,875.0
MCF8733,MCF8733GR,823.0
MBC80,MBC80GR,889.0
MKC23,MKC23GR,881.0
MBB69G,MBB69GGR,956.0
MGF8412,MGF8412GR,650.0
CYR700P,CYR700P,887.0
MGF24R,MGF24RGR,718.0
MKC68,MKC68GR,832.0
MCF8701,MCF8701GR,824.0
CTD-3,CTD-3,931.0
MGF24F,MGF24FGR,577.0
MGF8415,MGF8415GR,626.0
MGF8408,MGF8408GR,514.0
MBF8502,MBF8502GR,486.0
MGF8454,MGF8454GR,486.0
MBGF24,MBGF24GR,318.0
AMC-3401,AMC-3401,25.0
